170: Bronze-Ingot
171: Bronze-Rivets
172: Bronze-Rings
173: Bronze-Plate
174: Bronze-Alembic
175: Bronze-Skillet
176: Bronze-Hoplon
177: Bronze-Haubergeon
178: Bronze-Sollerets
179: Bronze-Chain-Coif
180: Bronze-Sallet
181: Bronze-Mitt-Gauntlets
182: Amateur's-Alembic
183: Bronze-Barbut
184: Bronze-Scutum
185: Amateur's-Skillet
186: Bronze-Plate-Belt
187: Bronze-Cuirass
188: Bronze-Celata
189: Iron-Ingot
190: Bronze-Sabatons
191: Iron-Rivets
192: Iron-Plate
193: Bronze-Gauntlets
194: Iron-Rings
195: Bronze-Buckler
196: Iron-Skillet
197: Brass-Alembic
198: Decorated-Bronze-Barbut
199: Decorated-Bronze-Mitt-Gauntlets
200: Iron-Hoplon
201: Initiate's-Alembic
202: Initiate's-Skillet
203: Iron-Sabatons
204: Iron-Sallet
205: Iron-Plate-Belt
206: Iron-Gauntlets
207: Iron-Cuirass
208: Iron-Celata
209: Ironclad-Bronze-Buckler
210: Iron-Vambraces
211: Iron-Lantern-Shield
212: Iron-Elmo
213: Iron-plated-Jackboots
214: Iron-Alembic
215: Iron-Scale-Greaves
216: Iron-Scale-Fingers
217: Iron-Scale-Mail
218: Iron-Frypan
219: Reinforced-Iron-Sallet
220: Iron-Scutum
221: Reinforced-Iron-Plate-Belt
222: Heavy-Iron-Armor
223: Heavy-Iron-Gauntlets
224: Heavy-Iron-Flanchard
225: Steel-Ingot
226: Conical-Alembic
227: Steel-Plate
228: Steel-Rivets
229: Iron-Kite-Shield
230: Bomb-Frypan
231: Steel-Rings
232: Steel-Tassets
233: Steel-Chainmail
234: Steel-Sallet
235: Steel-Alembic
236: Steel-Skillet
237: Steel-Gauntlets
238: Steel-Cuirass
239: Steel-Sabatons
240: Steel-Celata
241: Steel-plated-Jackboots
242: Steel-Vambraces
243: Steel-Plate-Belt
244: Bull-Hoplon
245: Steel-Elmo
246: Steel-Scale-Greaves
247: Steel-Scale-Fingers
248: Steel-Scale-Mail
249: Decorated-Buckler
250: White-Skillet
251: Silver-Alembic
252: Reinforced-Steel-Plate-Belt
253: Heavy-Steel-Armor
254: Heavy-Steel-Gauntlets
255: Decorated-Iron-Scutum
256: Heavy-Steel-Flanchard
257: Steel-plated-Caligae
258: Steel-Barbut
259: Steel-Mitt-Gauntlets
260: Mythril-Ingot
261: Steel-Frypan
262: Mythril-Rings
263: Mythril-Rivets
264: Bladed-Lantern-Shield
265: Mythril-Plate
266: Horn-Scale-Mail
267: Mythril-Elmo
268: Mythril-Alembic
269: Mythril-plated-Jackboots
270: Mythril-Barbut
271: Mythril-plated-Caligae
272: Mythril-Mesail
273: Cobalt-Ingot
274: Mythril-Vambraces
275: Mythril-Sollerets
276: Mythril-Chain-Coif
277: Mythril-Haubergeon
278: Cobalt-Plate
279: Cobalt-Rings
280: Mythril-Mitt-Gauntlets
281: Cobalt-Skillet
282: Cobalt-Rivets
283: Reinforced-Mythril-Elmo
284: Cobalt-Vambraces
285: Cobalt-plated-Jackboots
286: Cobalt-Elmo
287: Tortoiseshell-Scale-Mail
288: Cobalt-Barbut
289: Cobalt-plated-Caligae
290: Cobalt-Mitt-Gauntlets
291: Cobalt-Mesail
292: Kite-Shield
293: Cobalt-Sollerets
294: Cobalt-Chain-Coif
295: Cobalt-Haubergeon
296: Thermal-Alembic
297: Cobalt-Gauntlets
298: Cobalt-Cuirass
299: Cobalt-Sabatons
300: Cobalt-Celata
301: Cobalt-Plate-Belt
1228: Vintage-Hoplon
1229: Horn-Scale-Greaves
1230: Horn-Scale-Fingers
1231: Mythril-Celata
1232: Mythril-Plate-Belt
1233: Vintage-Celata
1234: Mythril-Gauntlets
1235: Mythril-Cuirass
1236: Mythril-Sabatons
1237: Vintage-Scutum
1238: Vintage-Scale-Mail
1239: Electrum-Alembic
1240: High-Mythril-Plate-Belt
1241: Vintage-Buckler
1242: High-Mythril-Gauntlets
1243: High-Mythril-Flanchard
1244: Cobalt-Scutum
1245: High-Mythril-Armor
1246: Vintage-Kite-Shield
1247: Tortoiseshell-Scale-Greaves
1248: Vintage-Haubergeon
1249: Tortoiseshell-Scale-Fingers
1250: Mosshorn-Scale-Mail
1251: Hells'-Kitchen
1252: Cobalt-Sallet
1253: Cobalt-Bladed-Lantern-Shield
1254: Darksteel-Nugget
1255: Darksteel-Plate
1256: Darksteel-Rivets
1257: Darksteel-Rings
1258: Darksteel-Ingot
1259: Darksteel-Couters
1260: Darksteel-Breastplate
1261: Darksteel-Gauntlet-Plates
1262: Armorer's-Visor
1263: Hamlet-Digger's-Helmet
1264: Militia-Armet
1265: Militia-Gauntlets
1266: Militia-Cuirass
1267: Militia-Sabatons
1268: Militia-Barbut
1269: Militia-Mitt-Gauntlets
1270: Blacksmith's-Workboots
1271: Darksteel-Chain-Coif
1272: Darksteel-Mitt-Gauntlets
1273: Darksteel-Sollerets
1274: Darksteel-Tassets
1275: Darksteel-Haubergeon
1276: Heavy-Darksteel-Armor
1277: Heavy-Darksteel-Gauntlets
1278: Heavy-Darksteel-Flanchard
1279: Darksteel-Scutum
1280: Darksteel-Buckler
1384: Wind-up-Dullahan
1590: Iron-Joint-Plate
1591: Steel-Joint-Plate
1592: Cobalt-Joint-Plate
1593: Steel-Hinge
1666: Oasis-Arched-Door
1669: Riviera-Rounded-Chimney
1672: Glade-Rounded-Chimney
1685: Glade-Wall-Chimney
1687: Riviera-Placard
1688: Glade-Placard
1690: Riviera-Hanging-Placard
1691: Glade-Hanging-Placard
1717: Oasis-Pendant-Lamp
1718: Deluxe-Oasis-Pendant-Lamp
1719: Oasis-Chandelier
1722: Moogle-Letter-Box
1732: Mythril-Table
1733: Brass-Bench
1781: Riviera-Wardrobe
1785: Company-Chest
1792: Riviera-Bookshelf
1826: Riviera-Round-Table
1829: Ahriman-Round-Table
1830: Diagnostics-Module
1835: Riviera-Dining-Table
1836: Glade-Dining-Table
1837: Oasis-Dining-Table
1841: Riviera-Desk
1844: Manor-Desk
1859: Manor-Fireplace
1861: Riviera-Lantern
1877: Miniature-Magitek-Reaper
1888: Belah'dian-Crystal-Lantern
1935: Light-Steel-Galerus
1936: Light-Steel-Subligar
1939: Tidal-Barding
1954: Alchemy-Furnace
1980: Projection-Module
1981: Purification-Module
1991: Manor-Marching-Horn
2007: Metal-Interior-Wall
2014: Metal-Flooring
2045: Cast-iron-Cookpot
2112: Incensory
2131: Iron-Plate-Flooring
2176: Dead-Man's-Chest
2338: Mythrite-Scutum
2339: Mythrite-Bladed-Lantern-Shield
2340: Titanium-Kite-Shield
2341: Titanium-Hoplon
2342: Adamantite-Scutum
2343: Mythrite-Sallet-of-Fending
2344: Titanium-Mask-of-Fending
2345: Titanium-Helm-of-Fending
