1: Bronze-Ingot
2: Bronze-Hatchet
3: Bronze-Bastard-Sword
4: Amateur's-File
5: Bronze-Rivets
6: Bronze-War-Axe
7: Amateur's-Pliers
8: Amateur's-Awl
9: Bronze-Saw
10: Amateur's-Claw-Hammer
11: Bronze-Cross-pein-Hammer
12: Bronze-Doming-Hammer
13: Amateur's-Culinary-Knife
14: Amateur's-Mortar
15: Viking-Sword
16: Bronze-Chaser-Hammer
17: Bronze-Labrys
18: Bronze-Pickaxe
19: Bronze-Head-Knife
20: Cloud-Axe
21: Bronze-Claw-Hammer
22: Bronze-File
23: Bronze-Pliers
24: Bronze-Mortar
25: Amateur's-Cross-pein-Hammer
26: Amateur's-Chaser-Hammer
27: Bronze-Awl
28: Bronze-Scythe
29: Amateur's-Doming-Hammer
30: Amateur's-Pickaxe
31: Amateur's-Head-Knife
32: Bronze-Culinary-Knife
33: Bronze-Sledgehammer
34: Amateur's-Saw
35: Amateur's-Hatchet
36: Bronze-Ornamental-Hammer
37: Bronze-Knuckles
38: Bronze-Spatha
39: Spiked-Bronze-Labrys
40: Brass-Head-Knife
41: Birdsbeak-Hammer
42: Bronze-Raising-Hammer
43: Iron-Ingot
44: Plumed-Bronze-Pickaxe
45: Brass-Bastard-Sword
46: Chocobotail-Saw
47: Brass-Knuckles
48: Iron-War-Axe
49: Iron-Hatchet
50: Iron-Labrys
51: Iron-Rivets
52: Iron-Cross-pein-Hammer
53: Iron-Chaser-Hammer
54: Iron-Doming-Hammer
55: Iron-Awl
56: Initiate's-Hatchet
57: Initiate's-Head-Knife
58: Initiate's-Sledgehammer
59: Brass-Viking-Sword
60: Iron-Pickaxe
61: Initiate's-Saw
62: Iron-Claw-Hammer
63: Carnage-Sword
64: Iron-Culinary-Knife
65: Iron-Scythe
66: Iron-Mortar
67: Inferno-Axe
68: Initiate's-Cross-pein-Hammer
69: Initiate's-Chaser-Hammer
70: Initiate's-Doming-Hammer
71: Iron-File
72: Iron-Pliers
73: Initiate's-Pickaxe
74: Iron-Shortsword
75: Iron-Sledgehammer
76: Initiate's-Awl
77: Spiked-Knuckles
78: Iron-Bill
79: Brass-Hatchet
80: Bas-relief-Iron-Saw
81: Initiate's-Claw-Hammer
82: Initiate's-Mortar
83: Iron-Round-Knife
84: Iron-Spatha
85: Initiate's-Culinary-Knife
86: Initiate's-Scythe
87: Steel-Ingot
88: Iron-Ornamental-Hammer
89: Iron-Raising-Hammer
90: Crowsbeak-Hammer
91: Thunderstorm-Axe
92: Initiate's-File
93: Initiate's-Pliers
94: Iron-Dolabra
95: Steel-Broadsword
96: Iron-Chocobotail-Saw
97: Spiked-Steel-Labrys
98: Steel-Rivets
99: Iron-Head-Knife
100: Plumed-Iron-Hatchet
101: Heavy-Crowsbeak-Hammer
102: Steel-Claws
103: Wrapped-Iron-Raising-Hammer
104: Steel-Chaser-Hammer
105: Steel-Pickaxe
106: Steel-Sledgehammer
107: Silver-Head-Knife
108: Bas-relief-Steel-Saw
109: Steel-Awl
110: Steel-Claw-Hammer
111: Steel-Falchion
112: Steel-Culinary-Knife
113: Steel-Bardiche
114: Steel-Mortar
115: Steel-Cross-pein-Hammer
116: Steel-Ornamental-Hammer
117: Steel-Scythe
118: Wrapped-Steel-Sledgehammer
119: Plumed-Steel-Hatchet
120: Steel-Dolabra
121: Steel-File
122: Steel-Doming-Hammer
123: Steel-Crowsbeak-Hammer
124: Steel-Hatchet
125: Steel-Pliers
126: Crosscut-Saw
127: Steel-Bhuj
128: Wrapped-Steel-Culinary-Knife
129: Heavy-Steel-Mortar
130: Wrapped-Steel-Scythe
131: Steel-Round-Knife
132: Wrapped-Steel-Claw-Hammer
133: Wrapped-Steel-Awl
134: Steel-Longsword
135: Mythril-Ingot
136: Plumed-Mythril-Pickaxe
137: Mythril-Broadsword
138: Mythril-Hatchet
139: Mythril-Rivets
140: Spiked-Mythril-Labrys
141: Mythril-Claws
142: Mythril-Head-Knife
143: Mythril-Saw
144: Mythril-Ornamental-Hammer
145: Mythril-Bhuj
146: Mythril-Awl
147: Mythril-Claw-Hammer
148: Mythril-File
149: Mythril-Culinary-Knife
150: Mythril-Scythe
151: Mythril-Mortar
152: Mythril-Sledgehammer
153: Cobalt-Ingot
154: Mythril-Pliers
155: Cobalt-Rivets
156: Cobalt-Katzbalger
157: Cobalt-Knuckles
158: Cobalt-Shamshir
159: Buccaneer's-Bardiche
160: Demilune-Bhuj
161: Wrapped-Hawksbeak-Hammer
162: Bas-relief-Cobalt-Saw
163: Electrum-Head-Knife
164: Electrum-Lapidary-Hammer
165: Cobalt-Raising-Hammer
166: Egret-Dolabra
