901: Table-Salt
902: Maple-Syrup
903: Maple-Sugar
904: Raisins
905: Boiled-Egg
906: Rye-Flour
907: Honey
908: Frumenty
909: Flatbread
910: Marmot-Steak
911: Grilled-Trout
912: Sweet-Cream
913: Orange-Juice
914: Smooth-Butter
915: Sunset-Wheat-Flour
916: Tree-Toad-Legs
917: Chanterelle-Saute
918: Braised-Pipira
919: Boiled-Crayfish
920: Mutton-Stew
921: Kukuru-Butter
922: Jack-o'-lantern
923: Mint-Lassi
924: Olive-Oil
925: Kukuru-Powder
926: Grilled-Dodo
927: Tomato-Sauce
928: Bubble-Chocolate
929: Pearl-Chocolate
930: Mole-Loaf
931: Parsnip-Salad
932: Gelatin
933: Pie-Dough
934: Rabbit-Pie
935: Salt-Cod
936: Grilled-Carp
937: Cider-Vinegar
938: Lavender-Oil
939: Dodo-Omelette
940: Meat-Miq'abob
941: Cottage-Cheese
942: Lentils-and-Chestnuts
943: Roasted-Nopales
944: Stone-Soup
945: Apple-Tart
946: Walnut-Bread
947: Raw-Oyster
948: Chicken-and-Mushrooms
949: Antelope-Stew
950: Mashed-Popotoes
951: Antelope-Steak
952: Grape-Juice
953: Honey-Muffin
954: Dried-Prunes
955: Spinach-Saute
956: Mustard-Eggs
957: Shepherd's-Pie
958: Salmon-Meuniere
959: Dark-Pretzel
960: Chamomile-Tea
961: Eel-Pie
962: Ginger-Cookie
963: Pea-Soup
964: Aldgoat-Steak
965: Cheese-Risotto
966: Fried-Egg
967: Boiled-Bream
968: Chicken-Stock
969: Orobon-Stew
970: Crumpet
971: Cornmeal
972: Baked-Sole
973: Dark-Vinegar
974: Alligator-Salad
975: Cornbread
976: Forest-Miq'abob
977: Smoked-Raptor
978: Blood-Currant-Tart
979: Tuna-Miq'abob
980: Acorn-Cookie
981: Scrambled-Eggs
982: Cawl-Cennin
983: Cream-Cheese
984: Sauerkraut
985: Cheese-Souffle
986: Ratatouille
987: Mugwort-Carp
988: Knight's-Bread
989: Stuffed-Artichoke
990: Raptor-Stew
991: Apple-Juice
992: Pastry-Fish
993: Jerked-Beef
994: Salt-Cod-Puffs
995: Rolanberry-Cheese
996: Fish-Soup
997: Button-Mushroom-Saute
998: Stuffed-Cabbage
999: Rolanberry-Lassi
1000: La-Noscean-Toast
1001: Deviled-Eggs
1002: Mulled-Tea
1003: Crowned-Pie
1004: Buttons-in-a-Blanket
1005: Eft-Steak
1006: Beef-Stew
1007: Trapper's-Quiche
1496: Crayfish-Ball
1497: Goby-Ball
1498: Crab-Ball
1499: Grilled-Warmwater-Trout
1500: Bass-Ball
1501: Herring-Ball
1502: Grilled-Raincaller
1503: Dzemael-Gratin
1504: Tomato-Pie
1505: Dagger-Soup
1506: Bouillabaisse
1507: Pan-fried-Mahi-Mahi
1508: Landtrap-Salad
1509: Rolanberry-Cheesecake
1510: Apkallu-Omelette
1511: Sauteed-Coeurl
1512: Pineapple-Ponzecake
1513: Pineapple-Juice
1514: Finger-Sandwich
