663: Copper-Ingot
664: Bone-Hora
665: Bone-Brand
666: Copper-Rings
667: Bone-Staff
668: Copper-Gorget
669: Copper-Wristlets
670: Ragstone-Whetstone
671: Copper-Earrings
672: Copper-Ring
673: Bone-Ring
674: Copper-Needle
675: Bone-Necklace
676: Copper-Choker
677: Ramhorn-Staff
678: Copper-Scepter
679: Bone-Armillae
680: Ramhorn-Claws
681: Copper-Ear-Cuffs
682: Bronze-Scepter
683: Amateur's-Needle
684: Sunstone
685: Danburite
686: Fluorite
687: Decorated-Bone-Staff
688: Brass-Ingot
689: Sphene
690: Malachite
691: Lapis-Lazuli
692: Brass-Spectacles
693: Brass-Cudgel
694: Brass-Rings
695: Fang-Earrings
696: Brass-Gorget
697: Brass-Wristlets
698: Bat-Fang-Needle
699: Brass-Wristlets-of-Crafting
700: Fang-Necklace
701: Brass-Earrings
702: Toothed-Ramhorn-Staff
703: Brass-Circlet-(Sunstone)
704: Brass-Circlet-(Danburite)
705: Brass-Circlet-(Fluorite)
706: Brass-Circlet-(Sphene)
707: Brass-Circlet-(Malachite)
708: Brass-Circlet-(Lapis-Lazuli)
709: Coral-Armillae
710: Staghorn-Staff
711: Mudstone-Whetstone
712: Decorated-Copper-Scepter
713: Brass-Ring
714: Brass-Ring-of-Crafting
715: Brass-Choker
716: Coral-Ring
717: Brass-Ear-Cuffs
718: Eye-of-Ice
719: Eye-of-Water
720: Eye-of-Lightning
721: Brass-Needle
722: Eye-of-Earth
723: Eye-of-Wind
724: Eye-of-Fire
725: Silver-Ingot
726: Wind-Brand
727: Silver-Rings
728: Initiate's-Needle
729: Silver-Spectacles
730: Horn-Earrings
731: Silver-Magnifiers
732: Ice-Brand
733: Toothed-Staghorn-Staff
734: Silver-Gorget
735: Silver-Wristlets
736: Silver-Wristlets-of-Crafting
737: Silver-Earrings
738: Silver-Ring
739: Silver-Ring-of-Crafting
740: Horn-Necklace
741: Silver-Scepter
742: Silver-Needle
743: Sunstone-Choker
744: Sunstone-Bracelet
745: Danburite-Choker
746: Danburite-Bracelet
747: Sunstone-Earrings
748: Sunstone-Ring
749: Danburite-Earrings
750: Danburite-Ring
751: Fluorite-Choker
752: Fluorite-Bracelet
753: Lapis-Lazuli-Choker
754: Lapis-Lazuli-Bracelet
755: Fluorite-Earrings
756: Fluorite-Ring
757: Lapis-Lazuli-Earrings
758: Lapis-Lazuli-Ring
759: Sphene-Choker
760: Sphene-Bracelet
761: Sphene-Earrings
762: Sphene-Ring
763: Siltstone-Whetstone
764: Malachite-Choker
765: Malachite-Bracelet
766: Malachite-Earrings
767: Malachite-Ring
768: Silver-Choker
769: Horn-Armillae
770: Horn-Ring
771: Silver-Ear-Cuffs
772: Goathorn-Staff
773: Aquamarine
774: Amethyst
775: Garnet
776: Goshenite
777: Heliodor
778: Peridot
779: Worm-Fang-Needle
780: Silver-Circlet-(Aquamarine)
781: Silver-Circlet-(Amethyst)
782: Silver-Circlet-(Garnet)
783: Silver-Circlet-(Goshenite)
784: Silver-Circlet-(Heliodor)
785: Silver-Circlet-(Peridot)
786: Mythril-Ingot
787: Earth-Brand
788: Steel-Goggles
789: Crabshell-Hora
790: Decorated-Silver-Scepter
791: Mythril-Magnifiers
792: Mythril-Spectacles
793: Mythril-Rings
794: Toothed-Goathorn-Staff
795: Wolf-Earrings
796: Fire-Brand
797: Mythril-Gorget
798: Mythril-Wristlets
799: Mythril-Earrings
800: Wolf-Necklace
801: Mythril-Needle
802: Mythril-Ring
803: Aquamarine-Choker
804: Amethyst-Choker
805: Garnet-Choker
806: Goshenite-Choker
807: Heliodor-Choker
808: Peridot-Choker
809: Pearl-Choker
810: Aquamarine-Bracelet
811: Amethyst-Bracelet
812: Garnet-Bracelet
813: Goshenite-Bracelet
814: Heliodor-Bracelet
815: Peridot-Bracelet
816: Pearl-Bracelet
817: Aquamarine-Earrings
818: Aquamarine-Ring
819: Amethyst-Earrings
820: Amethyst-Ring
821: Garnet-Earrings
822: Garnet-Ring
823: Goshenite-Earrings
824: Goshenite-Ring
825: Jadeite
826: Basilisk-Whetstone
827: Heliodor-Earrings
828: Heliodor-Ring
829: Peridot-Earrings
830: Peridot-Ring
831: Red-Coral-Armillae
832: Amber
833: Zircon
834: Spinel
835: Turquoise
836: Tourmaline
837: Rubellite
838: Horn-Staff
839: Pearl-Earrings
840: Pearl-Ring
841: Mythril-Choker
842: Electrum-Ingot
843: Mythril-Circlet-(Amber)
844: Mythril-Circlet-(Zircon)
845: Mythril-Circlet-(Spinel)
846: Mythril-Circlet-(Turquoise)
847: Mythril-Circlet-(Tourmaline)
848: Mythril-Circlet-(Rubellite)
849: Tortoiseshell-Hora
850: Lightning-Brand
851: Electrum-Rings
852: Electrum-Scepter
853: Thousand-Needle
854: Red-Coral-Ring
855: Red-Coral-Earrings
856: Water-Brand
857: Electrum-Gorget
858: Electrum-Wristlets
859: Electrum-Earrings
860: Electrum-Ring
861: Black-Pearl
862: Electrum-Monocle
863: Red-Coral-Necklace
864: Amber-Choker
865: Electrum-Circlet-(Amber)
866: Electrum-Circlet-(Zircon)
867: Electrum-Circlet-(Spinel)
868: Electrum-Circlet-(Turquoise)
869: Electrum-Circlet-(Tourmaline)
870: Electrum-Circlet-(Rubellite)
871: Amber-Bracelet
872: Electrum-Needle
873: Zircon-Choker
874: Zircon-Bracelet
875: Spinel-Choker
876: Spinel-Bracelet
877: Turquoise-Choker
878: Turquoise-Bracelet
879: Amber-Ring
880: Tourmaline-Choker
881: Tourmaline-Bracelet
882: Black-Pearl-Choker
883: Black-Pearl-Bracelet
884: Rubellite-Choker
885: Rubellite-Bracelet
886: Electrum-Choker
887: Zircon-Ring
888: Spinel-Ring
889: Turquoise-Ring
890: Tourmaline-Ring
891: Black-Pearl-Ring
892: Rubellite-Ring
893: Ivory-Staff
894: Amber-Earrings
895: Zircon-Earrings
896: Spinel-Earrings
897: Turquoise-Earrings
898: Tourmaline-Earrings
899: Black-Pearl-Earrings
900: Rubellite-Earrings
1437: Crow-Fly
1438: Floating-Minnow
1439: Brass-Spoon-Lure
1440: Chocobo-Fly
1441: Silver-Spoon-Lure
1442: Steel-Jig
1443: Sinking-Minnow
1444: Mythril-Wristlets-of-Crafting
1445: Vintage-Cudgel
1446: Pearl
1447: Mythril-Ring-of-Crafting
1448: Wildfowl-Fly
1449: Heavy-Steel-Jig
1450: Spinner
1451: Mythril-Ear-Cuffs
1452: Mythril-Spoon-Lure
1453: Wolf-Fang-Needle
1454: Snurble-Fly
1455: Electrum-Wristlets-of-Crafting
1456: Cobalt-Preserves
1457: Topwater-Frog
1458: Black-Horn-Staff
1459: Electrum-Ring-of-Crafting
1460: Vintage-Hora
1461: Rainbow-Spoon-Lure
1462: Spinnerbait
1463: Streamer
1464: Yumizuno
1465: Electrum-Ear-Cuffs
1466: Jade-Scepter
1467: Tortoiseshell-Armillae
1468: Model-Vanguard
1469: Gravel-Golem
1470: Astral-Eye
1471: Rose-Gold-Nugget
1472: Radiant-Astral-Eye
1473: Rose-Gold-Ingot
1474: Astrolabe-Clinometer
1475: Rose-Gold-Clasps
1476: Alchemist's-Monocle
1477: Imperial-Operative-Choker
1478: Imperial-Operative-Wristlets
1479: Goldsmith's-Turban
1480: Blacksmith's-Goggles
1481: Sanguine-Scepter
1482: Militia-Earrings
1483: Militia-Bracelets
1484: Militia-Wristlets
1485: Astral-Choker
1486: Astral-Bracelet
1487: Astral-Ring
1488: Astrolabe
1489: Rose-Gold-Ear-Cuffs
1490: Rose-Gold-Earrings
1491: Rose-Gold-Gorget
1492: Rose-Gold-Circlet
1493: Rose-Gold-Ear-Screws
1494: Rose-Gold-Bracelets
1495: Rose-Gold-Ring
1576: Aetheryte-Ring
1581: Cut-Stone
1616: Oasis-Cottage-Roof-(Composite)
1617: Oasis-Cottage-Roof-(Stone)
1619: Oasis-House-Roof-(Composite)
1620: Oasis-House-Roof-(Stone)
1622: Oasis-Mansion-Roof-(Composite)
1623: Oasis-Mansion-Roof-(Stone)
1625: Riviera-Cottage-Wall-(Composite)
1626: Riviera-Cottage-Wall-(Stone)
1628: Riviera-House-Wall-(Composite)
1629: Riviera-House-Wall-(Stone)
1631: Riviera-Mansion-Wall-(Composite)
1632: Riviera-Mansion-Wall-(Stone)
1635: Glade-Cottage-Wall-(Stone)
1638: Glade-House-Wall-(Stone)
1641: Glade-Mansion-Wall-(Stone)
1643: Oasis-Cottage-Wall-(Composite)
1644: Oasis-Cottage-Wall-(Stone)
1646: Oasis-House-Wall-(Composite)
1647: Oasis-House-Wall-(Stone)
1649: Oasis-Mansion-Wall-(Composite)
1650: Oasis-Mansion-Wall-(Stone)
1661: Riviera-Studded-Door
1663: Glade-Classical-Door
1668: Oasis-Classical-Door
1670: Riviera-Stone-Chimney
1673: Oasis-Stone-Chimney
1674: Oasis-Rounded-Chimney
1677: Cactuar-Weathervane
1684: Riviera-Wall-Chimney
1686: Oasis-Wall-Chimney
1689: Oasis-Placard
1692: Oasis-Hanging-Placard
1696: Riviera-Roofed-Wall
1697: Riviera-Picket-Wall
1698: Riviera-Stone-Wall
1699: Glade-Cobblestone-Wall
1703: Oasis-Stone-Wall
1704: Oasis-Ornate-Fence
1721: Illumination-Module
1741: Cragsoul-Lamp
1742: Titanic-Cragsoul-Lamp
1744: Savage-Arc-of-Triumph
1754: Amdapori-Beacon
1760: Sylphic-Chair
1775: Vortex-Couch
1776: Raging-Vortex-Couch
1791: Sylphic-Cupboard
1797: Sylphic-Bookshelf
1799: Riviera-Pillar
1801: Oasis-Pillar
1804: Oasis-Partition
1807: Sylphic-Screen
1812: Manor-Candelabra
1814: Mandragora-Floor-Lamp
1815: Amigo-Cactus-Floor-Lamp
1817: Riviera-Bathtub
1819: Oasis-Bathtub
1822: Astroscope
1823: Vodoriga-Sculpture
1824: Gargoyle-Sculpture
1825: Llymlaen's-Embrace
1834: Sylphic-Table
