302: Leather
303: Leather-Calot
304: Leather-Duckbills
305: Leather-Wristguards
306: Leather-Shepherd's-Belt
307: Leather-Duckbills-of-Gathering
308: Merchant's-Purse
309: Fingerless-Leather-Gloves
310: Leather-Shoes
311: Leather-Eyepatch
312: Leather-Belt
313: Leather-Crakows
314: Leather-Choker
315: Leather-Culottes
316: Leather-Lightmitts
317: Leather-Boots
318: Leather-Ringbands
319: Leather-Mitts
320: Leather-Himantes
321: Leather-Wristbands
322: Hard-Leather
323: Leather-Sandals
324: Hard-Leather-Pot-Helm
325: Leather-Leggings
326: Amateur's-Thighboots
327: Amateur's-Smithing-Gloves
328: Amateur's-Duckbills
329: Leather-Jacket
330: Hard-Leather-Merchant's-Pouch
331: Hard-Leather-Wristguards
332: Leather-Survival-Belt
333: Amateur's-Headgear
334: Hard-Leather-Shoes
335: Leather-Jackboots
336: Hard-Leather-Harness
337: Hard-Leather-Satchel-Belt
338: Leather-Targe
339: Hard-Leather-Hunting-Belt
340: Hard-Leather-Armguards
341: Hard-Leather-Caligae
342: Hard-Leather-Subligar
343: Hard-Leather-Eyepatch
344: Hard-Leather-Himantes
345: Hard-Leather-Lightpouch
346: Hard-Leather-Lightmitts
347: Hard-Leather-Choker
348: Fingerless-Hard-Leather-Gloves
349: Hard-Leather-Boots
350: Hard-Leather-Ringbands
351: Hard-Leather-Shepherd's-Belt
352: Hard-Leather-Belt
353: Aldgoat-Leather
354: Hard-Leather-Skullcap
355: Hard-Leather-Espadrilles
356: Hard-Leather-Wristbands
357: Hard-Leather-Wristbands-of-Gathering
358: Goatskin-Wristguards
359: Goatskin-Mitts
360: Hard-Leather-Cesti
361: Goatskin-Leggings
362: Goatskin-Tool-Belt
363: Goatskin-Pot-Helm
364: Goatskin-Ring
365: Initiate's-Gloves
366: Padded-Leather-Duckbills
367: Padded-Leather-Duckbills-of-Gathering
368: Initiate's-Thighboots
369: Goatskin-Brais
370: Initiate's-Headgear
371: Goatskin-Armguards
372: Goatskin-Jacket
373: Goatskin-Eyepatch
374: Goatskin-Leg-Guards
375: Voyager's-Belt
376: Goatskin-Lightmitts
377: Goatskin-Satchel-Belt
378: Goatskin-Breeches
379: Goatskin-Belt
380: Goatskin-Espadrilles
381: Fingerless-Goatskin-Gloves
382: Fingerless-Goatskin-Gloves-of-Gathering
383: Toad-Leather
384: Goatskin-Crakows
385: Goatskin-Choker
386: Goatskin-Crakows-of-Gathering
387: Goatskin-Boots
388: Goatskin-Ringbands
389: Goatskin-Wristbands-of-Gathering
390: Toadskin-Survival-Belt
391: Toadskin-Cesti
392: Toadskin-Hunting-Belt
393: Goatskin-Wristbands
394: Goatskin-Targe
