464: Hempen-Yarn
465: Undyed-Hempen-Cloth
466: Hempen-Halfgloves
467: Hempen-Underpants
468: Hempen-Pantalettes
469: Hempen-Undershirt
470: Hempen-Coif
471: Hempen-Camise
472: Hempen-Breeches-of-Crafting
473: Hempen-Kurta
474: Hempen-Coif-of-Gathering
475: Hempen-Shepherd's-Slops
476: Hempen-Dalmatica
477: Hempen-Breeches
478: Hempen-Dalmatica-of-Gathering
479: Hempen-Tunic
480: Hempen-Sarouel
481: Hempen-Chausses
482: Hempen-Tights
483: Hempen-Bandana
484: Hempen-Cowl
485: Hempen-Tabard
486: Hempen-Hat
487: Hempen-Shepherd's-Tunic
488: Hempen-Shortgloves
489: Hempen-Halfrobe
490: Hempen-Work-Gloves
491: Hempen-Sash
492: Hempen-Acton
493: Hempen-Kecks
494: Hempen-Gaskins
495: Amateur's-Kurta
496: Amateur's-Doublet-Vest
497: Hempen-Bottoms
498: Amateur's-Slops
499: Hempen-Trousers
500: Amateur's-Hempen-Coif
501: Amateur's-Dalmatica
502: Amateur's-Breeches
503: Straw-Hat
504: Hempen-Bracers
505: Hempen-Dress-Gloves
506: Cotton-Yarn
507: Stablemaid's-Hat
508: Hempen-Doublet-Vest-of-Gathering
509: Hempen-Doublet-Vest-of-Crafting
510: Hempen-Robe
511: Undyed-Cotton-Cloth
512: Cotton-Turban
513: Striped-Cotton-Slops
514: Stablehand's-Hat
515: Cotton-Sarouel
516: Cotton-Shirt
517: Cotton-Longsash
518: Cotton-Cowl
519: Cotton-Chausses
520: Cotton-Tights
521: Cotton-Shepherd's-Slops
522: Cotton-Scarf
523: Cotton-Halfgloves
524: Cotton-Shepherd's-Tunic
525: Padded-Hempen-Trousers
526: Hunting-Hat
527: Cotton-Tabard
528: Rope-Belt
529: Cotton-Trousers
530: Cotton-Dalmatica
531: Cotton-Dalmatica-of-Gathering
532: Cotton-Kurta
533: Initiate's-Doublet-Vest
534: Cotton-Acton
535: Cotton-Coif
536: Cotton-Coif-of-Gathering
537: Cotton-Breeches
538: Cotton-Breeches-of-Crafting
539: Initiate's-Slops
540: Padded-Cotton-Trousers
541: Cotton-Work-Gloves
542: Cotton-Sash
543: Cotton-Dress-Gloves
544: Cotton-Halfrobe
545: Cotton-Gaskins
546: Cotton-Dress-Shoes
547: Dew-Thread
548: Cotton-Doublet-Vest-of-Gathering
549: Cotton-Doublet-Vest-of-Crafting
550: Cotton-Sugarloaf-Hat
551: Cotton-Trapper's-Tunic
552: Cotton-Bracers
553: Undyed-Velveteen
554: Cotton-Kecks
555: Initiate's-Gown
556: Cotton-Robe
557: Velveteen-Chausses
558: Velveteen-Halfgloves
559: Velveteen-Bandana
560: Velveteen-Sarouel
561: Velveteen-Sarouel-of-Gathering
562: Striped-Velveteen-Slops
563: Velveteen-Shirt
564: Velveteen-Turban
565: Tarred-Velveteen-Longsash
566: Velveteen-Rope-Belt
567: Velveteen-Wedge-Cap-of-Crafting
568: Velveteen-Cowl
569: Velveteen-Tights
570: Velveteen-Wedge-Cap-of-Gathering
571: Velveteen-Coatee-of-Gathering
572: Velveteen-Half-Apron
573: Velveteen-Gaiters
574: Velveteen-Trousers
575: Velveteen-Coatee-of-Crafting
576: Velveteen-Shortgloves
577: Velveteen-Beret
578: Velveteen-Bottom
579: Velveteen-Gown
580: Padded-Velveteen-Trousers
581: Velveteen-Work-Gloves
582: Velveteen-Dress-Shoes
583: Velveteen-Gaskins
584: Velveteen-Sash
585: Velveteen-Dress-Gloves
586: Velveteen-Robe
587: Linen-Yarn
588: Velveteen-Sugarloaf-Hat
589: Velveteen-Doublet-Vest-of-Crafting
590: Undyed-Linen
591: Velveteen-Doublet-Vest-of-Gathering
592: Linen-Chausses
593: Linen-Halfgloves
594: Linen-Sarouel
595: Linen-Sarouel-of-Gathering
596: Linen-Shirt
597: Linen-Turban
598: Linen-Tights
599: Linen-Hat
600: Linen-Robe
601: Angler's-Hat
602: Linen-Trousers
603: Linen-Cowl
604: Linen-Wedge-Cap-of-Crafting
605: Linen-Half-Apron
606: Linen-Gaiters
607: Linen-Bottom
608: Woolen-Yarn
609: Linen-Wedge-Cap-of-Gathering
610: Linen-Coatee-of-Crafting
611: Linen-Coatee-of-Gathering
612: Linen-Shortgloves
613: Undyed-Woolen-Cloth
614: Woolen-Coif
615: Woolen-Shirt
616: Woolen-Turban
617: Woolen-Coif-of-Gathering
618: Woolen-Sarouel
619: Woolen-Sarouel-of-Gathering
620: Woolen-Hat
621: Linen-Deerstalker
622: Woolen-Tights
623: Woolen-Robe
624: Linen-Smock
625: Linen-Slops
626: Linen-Doublet
627: Woolen-Chausses
628: Woolen-Beret
629: Ranger's-Hat
630: Woolen-Gown
631: Woolen-Kecks
632: Woolen-Bracers
633: Ranger's-Tunic
634: Woolen-Gaskins
635: Woolen-Cavalier's-Hat
636: Woolen-Halfgloves
637: Woolen-Work-Gloves
638: Woolen-Trousers
639: Woolen-Bliaud
640: Undyed-Felt
641: Felt-Coif
642: Felt-Coif-of-Gathering
643: Woolen-Smock
644: Woolen-Deerstalker
645: Woolen-Doublet
646: Felt-Hat
647: Felt-Robe
648: Woolen-Slops
649: Woolen-Cowl
650: Felt-Chausses
651: Rainmaker's-Tunic
652: Rainmaker's-Hat
653: Felt-Gown
654: Felt-Kecks
655: Felt-Halfgloves
656: Felt-Bracers
657: Felt-Beret
658: Felt-Work-Gloves
659: Felt-Gaskins
660: Felt-Cavalier's-Hat
661: Felt-Bliaud
662: Felt-Trousers
1362: Vintage-Half-Apron
1363: Linen-Longsash
1364: Vintage-Coatee
1365: Vintage-Doublet-Vest
1366: Woolen-Sash
1367: Linen-Gaskins
1368: Padded-Linen-Trousers
1369: Linen-Bliaud
1370: Vintage-Chef's-Apron
1371: Woolen-Dress-Gloves
1372: Vintage-Chef's-Hat
1373: Woolen-Dress-Shoes
1374: Vintage-Hose
1375: Vintage-Seneschal-Coatee
1376: Vintage-Jester's-Cap
1377: Vintage-Coif
1378: Vintage-Robe
1379: Felt-Sash
1380: Felt-Dress-Shoes
1381: Padded-Woolen-Trousers
1382: Felt-Dress-Gloves
1383: Wind-up-Qiqirn
1385: Wind-up-Aldgoat
1386: Twinthread
1387: Vanya-Silk
1388: Vanya-Silk-Robe-Lining
1389: Vanya-Silk-Crakow-Lining
1390: Vanya-Silk-Glove-Lining
1391: Vanya-Silk-Hat-Lining
1392: Patrician's-Wedge-Cap
1393: Patrician's-Gloves
1394: Patrician's-Gaiters
1395: Patrician's-Coatee
1396: Patrician's-Bottoms
1397: Weaver's-Gibus
1398: Imperial-Operative-Hat
1399: Imperial-Operative-Dalmatica
1400: Carpenter's-Hood
1401: Hamlet-Cutter's-Hat
1402: Culinarian's-Hat
1403: Militia-Tights
1404: Militia-Trousers
1405: Militia-Hat
1406: Militia-Robe
1407: Botanist's-Slops
1408: Botanist's-Gloves
1409: Leatherworker's-Trousers
1410: Fisher's-Gaskins
1411: Armorer's-Slops
1412: Armorer's-Gown
1413: Weaver's-Trousers
1414: Weaver's-Swallowtail
1415: Blacksmith's-Slops
1416: Goldsmith's-Trousers
1417: Goldsmith's-Doublet
1418: Culinarian's-Trousers
1419: Culinarian's-Mitts
1420: Culinarian's-Apron
1421: Carpenter's-Gown
1422: Alchemist's-Trousers
1423: Alchemist's-Gloves
1424: Alchemist's-Coat
1425: Vanya-Crakows
1426: Vanya-Gloves-of-Casting
1427: Vanya-Gloves-of-Healing
1428: Vanya-Sash-of-Casting
1429: Vanya-Sash-of-Healing
1430: Vanya-Trousers
1431: Vanya-Hat-of-Casting
1432: Vanya-Hat-of-Healing
1433: Vanya-Breeches-of-Casting
1434: Vanya-Breeches-of-Healing
1435: Vanya-Robe-of-Casting
1436: Vanya-Robe-of-Healing
1594: Cotton-Canvas
1595: Linen-Canvas
1596: Felt-Lining
1606: Glade-Cottage-Roof-(Wood)
1608: Glade-Cottage-Roof-(Stone)
1609: Glade-House-Roof-(Wood)
1611: Glade-House-Roof-(Stone)
1612: Glade-Mansion-Roof-(Wood)
1614: Glade-Mansion-Roof-(Stone)
1679: Riviera-Awning
1681: Glade-Awning
1683: Oasis-Awning
1700: Glade-Thatch-Wall
1729: Linen-Parasol
1767: Oasis-Bench
1768: Riviera-Armchair
1770: Oasis-Armchair
1771: Riviera-Couch
1773: Oasis-Couch
1777: Riviera-Bed
1778: Glade-Bed
1779: Oasis-Bed
1813: Tonberry-Floor-Lamp
1878: Stuffed-Moogle
1879: Stuffed-Chocobo
1891: Riviera-Rug
1894: Glade-Rug
1895: Glade-Fringed-Rug
1897: Oasis-Rug
1898: Oasis-Argyle-Rug
1899: Oasis-Leaf-Rug
1901: Goobbue-Rug
1902: Moogle-Rug
1925: Coronal-Straw-Hat
1926: Sailor-Shirt
1927: Coronal-Wristband
1928: Sailor-Brais
1930: Spring-Straw-Hat
1931: Spring-Dress
1932: Spring-Skirt
1933: Spring-Dress-Shoes
1934: Cloche
1937: Taffeta-Shawl
1938: Taffeta-Loincloth
1940: Plush-Cushion
1946: Jute-Yarn
1958: Tonberry-Round-Table
1959: Tonberry-Dining-Table
1963: Tonberry-Bed
1966: Tonberry-Oval-Rug
1968: Stuffed-Ahriman
1970: Carbuncle-Round-Table
1979: Tonberry-Square-Rug
2009: Chocobo-Interior-Wall
2010: Moogle-Interior-Wall
2016: Chocobo-Flooring
2017: Moogle-Flooring
2032: Tatami-Mat
2038: Riviera-Doormat
2039: Double-Feather-Bed
2041: Riviera-Cushion
2042: Glade-Cushion
2043: Oasis-Cushion
2055: Riviera-Flora-Interior-Wall
2056: Glade-Flora-Interior-Wall
2057: Oasis-Flora-Interior-Wall
2058: Classic-Interior-Wall
2059: Striped-Interior-Wall
2068: Plain-Long-Skirt
2070: Nana-Bear
2094: South-Seas-Armchair
2095: South-Seas-Couch
2119: Glade-Doormat
2120: Oasis-Doormat
2121: Large-Woven-Rug
2189: Spotted-Interior-Wall
2190: Wavy-Interior-Wall
2191: Tatami-Flooring
2658: Holy-Rainbow-Shirt-of-Fending
2659: Holy-Rainbow-Sarouel-of-Fending
2660: Holy-Rainbow-Shirt-of-Maiming
2661: Holy-Rainbow-Sarouel-of-Maiming
2662: Chimerical-Felt-Cap-of-Striking
2663: Rainbow-Bolero-of-Striking
2664: Holy-Rainbow-Shirt-of-Striking
2665: Chimerical-Felt-Cyclas-of-Striking
2666: Rainbow-Culottes-of-Striking
2667: Holy-Rainbow-Sarouel-of-Striking
2668: Ramie-Trousers-of-Striking
2669: Chimerical-Felt-Hose-of-Striking
2670: Rainbow-Cap-of-Aiming
2671: Holy-Rainbow-Hat-of-Aiming
2672: Chimerical-Felt-Cap-of-Aiming
2673: Rainbow-Robe-of-Aiming
2674: Holy-Rainbow-Shirt-of-Aiming
2675: Hallowed-Ramie-Doublet-of-Aiming
2676: Chimerical-Felt-Cyclas-of-Aiming
2677: Rainbow-Sash-of-Aiming
2678: Hallowed-Ramie-Sash-of-Aiming
2679: Rainbow-Slops-of-Aiming
2680: Holy-Rainbow-Sarouel-of-Aiming
2681: Ramie-Trousers-of-Aiming
2682: Hallowed-Ramie-Gaskins-of-Aiming
2683: Chimerical-Felt-Hose-of-Aiming
2684: Rainbow-Coif-of-Scouting
2685: Holy-Rainbow-Scarf-of-Scouting
2686: Chimerical-Felt-Cap-of-Scouting
2687: Rainbow-Shirt-of-Scouting
2688: Holy-Rainbow-Shirt-of-Scouting
2689: Chimerical-Felt-Cyclas-of-Scouting
2690: Rainbow-Halfgloves-of-Scouting
2691: Rainbow-Sash-of-Scouting
2692: Rainbow-Sarouel-of-Scouting
2693: Holy-Rainbow-Sarouel-of-Scouting
2694: Ramie-Trousers-of-Scouting
2695: Chimerical-Felt-Hose-of-Scouting
2696: Rainbow-Cap-of-Healing
2697: Holy-Rainbow-Hat-of-Healing
2698: Chimerical-Felt-Klobuk-of-Healing
2699: Rainbow-Robe-of-Healing
2700: Holy-Rainbow-Shirt-of-Healing
2701: Ramie-Robe-of-Healing
2702: Hallowed-Ramie-Doublet-of-Healing
2703: Chimerical-Felt-Alb-of-Healing
2704: Ramie-Halfgloves-of-Healing
2705: Chimerical-Felt-Gloves-of-Healing
2706: Rainbow-Sash-of-Healing
2707: Hallowed-Ramie-Sash-of-Healing
2708: Chimerical-Felt-Corset-of-Healing
2709: Rainbow-Slops-of-Healing
2710: Holy-Rainbow-Sarouel-of-Healing
2711: Ramie-Tonban-of-Healing
2712: Hallowed-Ramie-Gaskins-of-Healing
2713: Chimerical-Felt-Chausses-of-Healing
2714: Holy-Rainbow-Cap-of-Casting
2715: Rainbow-Robe-of-Casting
2716: Holy-Rainbow-Shirt-of-Casting
2717: Ramie-Robe-of-Casting
2718: Hallowed-Ramie-Doublet-of-Casting
2719: Chimerical-Felt-Robe-of-Casting
2720: Ramie-Halfgloves-of-Casting
2721: Rainbow-Sash-of-Casting
2722: Hallowed-Ramie-Sash-of-Casting
2723: Chimerical-Felt-Corset-of-Casting
2724: Rainbow-Slops-of-Casting
2725: Holy-Rainbow-Sarouel-of-Casting
2726: Ramie-Tonban-of-Casting
2727: Hallowed-Ramie-Gaskins-of-Casting
2728: Chimerical-Felt-Breeches-of-Casting
2729: Rainbow-Ribbon-of-Fending
2730: Ramie-Ribbon-of-Fending
2731: Rainbow-Ribbon-of-Slaying
2732: Ramie-Ribbon-of-Slaying
2733: Rainbow-Ribbon-of-Aiming
2734: Ramie-Ribbon-of-Aiming
2735: Rainbow-Ribbon-of-Healing
2736: Ramie-Ribbon-of-Healing
2737: Rainbow-Ribbon-of-Casting
2738: Ramie-Ribbon-of-Casting
2739: Rainbow-Wedge-Cap
2740: Ramie-Turban-of-Crafting
2741: Rainbow-Coatee
2742: Ramie-Doublet-of-Crafting
2743: Rainbow-Gloves
2744: Rainbow-Apron
2745: Rainbow-Bottoms
2746: Ramie-Skirt
2747: Rainbow-Shoes
2748: Rainbow-Hat
2749: Rainbow-Work-Gloves
2750: Ramie-Trousers-of-Gathering
2751: Rainbow-Cloth
2752: Holy-Rainbow-Cloth
2753: Ramie-Cloth
2754: Holy-Ramie-Cloth
2755: Chimerical-Felt
2756: Rainbow-Thread
2757: Ramie-Thread
2758: Crawler-Silk
2822: Orthodox-Barding
30066: Dalamud-Red-Dye
30067: Wine-Red-Dye
30068: Royal-Blue-Dye
30069: Abyssal-Blue-Dye
30070: Honey-Yellow-Dye
30071: Hunter-Green-Dye
30072: Morbol-Green-Dye
30073: Pumpkin-Orange-Dye
30074: Loam-Brown-Dye
30075: Lotus-Pink-Dye
30076: Regal-Purple-Dye
